subject,min_grade,max_grade,overview,objectives_outcomes,comment
Reading & Writing,1,1,"Ask the class if they remember working with questions and statements.
Tell them that they're going to add in one more kind of sentence today: exclamatory sentences.
Explain that exclamatory sentences are said with excitement and end with an exclamation mark.",Students will be able to build sentences using capital letters and ending punctuation.,
Math,1,1,"Tell the students that today they will continue learning how to subtract.
Remind them that subtract means to take away, and the number that is left is called the difference.",Students will be able to illustrate the operation of subtraction with answers of 10 or less.,
Reading & Writing,1,1,"Tell the students that today they will be learning about consonant ending blends.
Explain that consonants are letters in the alphabet that are not vowels.",Students will be able to identify and manipulate consonant ending blends.,
Reading & Writing,1,1,"Read the story The Cat in the Hat by Dr. Seuss. Stop periodically to ask comprehension questions and refocus students.
After finishing the story, inform students that they are going to be thinking about the characters in the story and the characters' decisions.","Students will be able to understand the central message or lesson of a story.
Studens will be able to compare and contrast the experiences of the characters in a story.Students will be able to understand the central message or lesson of a story.Studens will be able to compare and contrast the experiences of the characters in a story.",
Reading & Writing,1,2,"Play the Verb Rap Song to review the definition of verbs, or actions.
Ask students to participate by acting out the verbs in the song. Get them excited about the lesson!
Use the video to recall the definition of verbs, and introduce subject/verb agreement.",Students will be able to apply the grammar rule for subject/verb agreement in complete sentences.,
Math,1,1,"Tell your students that today they will use what they have learned about counting, adding, subtracting, and graphing to create their own graphs.
Review these concepts with your students.",Students will be able to use data gathered to complete a graph. Students will be able to use the data from a graph to answer questions.,
Reading & Writing,1,2,"Tell students that their objective is to increase their phonemic awareness skills in order to become better readers and spellers.
Review some of the key terms pertaining to phonemic awareness, such as blends, or two or three consonant combinations that create a different consonant sound.
Ask students to take out the play or short story.
Inform students that they will be working with new word sorts and blends from the play.",Students will be able to spell the words in their word sorts and correctly identify the phonemes within each word.,
Math,1,1,"Tell students to close their eyes and imagine that they are going on a trip. The trip they are going on is to an island, so they are going to need a raft to get there. Have students think about what size raft they would need for their trip. Ask them how they would build it.
Have students open their eyes.
Ask students to share their ideas with their partner or group.",Students will be able to use forms of non-standard measurement to measure various objects.,
Reading & Writing,1,1,"Begin by telling your students that you are going to read them a story.
Let them know while you are reading, you want them to think about the main idea of the story.
Help your students understand what a main idea of a story is by reading a short passage from one of your stories.
Ask the students to tell you in one sentence what the story was about. Tell them that the summary they're generating is the story's main idea.
Talk about student answers and discuss how to pick out the main idea.
Check for understanding before moving on. It may be necessary to try with another brief story to be sure students have a solid understand of finding the main idea",Students will be able to identify the main idea and details of simple texts.,
Reading & Writing,1,1,"Hold up a few nonfiction books. Ask students what the topic of each book is.
Explain that books not only have a topic, but the chapters and even paragraphs have topics. Thinking about the main topics of texts helps us understand what the texts are about.",Students will identify the main idea in nonfiction texts.,
Reading & Writing,1,1,"Pick a grade-appropriate book you that is familiar to the class-something you may have read a couple of times in class and is a quick read aloud (like No, David!). You will have already gone through the book and marked three pages with sticky notes using the symbols on the chart.
Tell students that you are going to read a story that is familiar to them, but this time you took notes to record your thinking while you read. And that is what they are going to do today: Use sticky notes to record their thoughts and feelings as they read, and then share these notes with a partner.",Students will be able to use sticky notes to record their thinking while reading and talk about their thinking with a partner.,
Reading & Writing,1,1,"Gather students together.
Tell students that today, they'll be reviewing facts and opinions and practicing writing their own on index cards.
Ask for volunteers to tell you what a fact is. After some discussion, define a fact as a piece of information that is true and is supported by evidence.
Call on different students to tell you what they think an opinion is. After a few answers, define an opinion as what someone believes or feels about something.",Students will write a fact or opinion.,
Math,1,1,"Show students a tower of 15 snap cubes.
Ask, “How many cubes do I have in my tower?”
Count aloud with students.
Now ask, “How many cubes would I have if I had 10 less?”
Have students share a few answers, then take away 10 cubes.
Count how many are left.",Students will be able to calculate ten less than numbers under 20.,
Math,1,1,"Explain to students that many subtraction and addition problems can be made easier by dealing with groups of ten.
In order to do this, tell them that they need to know all the pairs, or groups of two, that make 10.",Students will learn to quickly identify groups of ten in order to strengthen regrouping skills.,
Reading & Writing,1,1,"Tell your students that today they learn about different kinds of nouns.
Explain that they will become detectives and will search for nouns around the classroom and school.",Students will identify and use common and proper nouns in complete sentences.,
Reading & Writing,1,1,"Gather students together and announce that it's 'Bingo Game Day' for short vowels.
Ask if anyone has noticed any short vowels 'hanging around' today.
Point to the Short Vowel Picture Cards hanging on the board and say each sound, then the picture name (for example, O...Octopus).
Announce that these cards will help us decide if words match one of sounds. If the word matches one of the short vowel sounds, that word will be a 'Bingo Word of the Day.'
Play the Bingo Word of the Day game using the word list from the Short Vowel Bingo game.
Choose five of the Word List words and ask students to listen as you read each word.
Ask them to say 'bingo' if they think the word is a short vowel word.
Tally each correct response on the board under the title 'Bingo Words.'
Announce the Bingo Word of the Day score.
Correct any words missed and use the Short Vowel picture cards as a checklist for errors.",Students will learn to distinguish between short and long vowel sounds.,
Reading & Writing,1,1,"Tell the class we will be playing a dice game with vowel sounds.
Review the different long vowel sounds.
Review the different short vowel sounds.
Introduce the concept of a column, or vertical section. Contrast it with a row.",Students will be able to find and sort words by distinguishing their short or long vowel sounds.,
Math,1,1,"Call your students together as a group. Pass out hundreds, tens, and ones with blocks.
Ask your students to show hundreds, tens, and ones using blocks.
Ask your students the value of hundreds, tens, and ones.
Inform your students that they will change hundreds, tens, and ones from word form to numeric form, or the value written in numerals.","Students will be able to write the hundreds, tens, and ones numbers in their numeric form.",
Reading & Writing,1,1,"Prior to the lesson, scatter several bug word cards on the floor around the room.
As you begin the lesson, pretend you are surprised as you pick up a word bug off of the floor.
Ask the students if anyone else sees a bug on the floor.
Ask the students how the words are alike and how they are different.
Tell the students that they will be learning about words in the '-ug' family today.","The students will be able to read and segment one-syllable words, reading individual sounds and producing the entire word. The students will be able to recognize words that belong in the -ug family. The students will be able to sort words that do and don’t belong in the same word family.",
Reading & Writing,1,1,"Explain to the students that the lesson focus will be on certain story elements that will help them understand what happened in a story and why.
Read the story Leo the Late Bloomer",Students will be able to describe story elements found in a text orally with a small group and in writing.,
Reading & Writing,1,2,"Explain to the students that a contraction is a shortened form of two words.
Write the words 'do not' on the board. Skip a space and explain to the students that you are going to change these two words into contractions.
Tell them to always keep the first word. Write it.
Now be sure they are watching as you show them how to change the second word to finish the contraction.
Bring attention to the apostrophe to show that you omitted, or left out, a letter.
Read the new word: don't.
Make more contractions using is, not, will, are, and have.
Point out that will not is the only time the first word will change when you change those words into contractions.",Students will be able to identify and make different contractions.,
Math,1,1,"Call students together.
Ask students to think of a triangle in their mind. Have students draw this triangle on a sheet of paper.
Hold up several of the students’ drawings. Ask students if all of the triangles look the same, what all of the triangles have in common, and what some differences are between the triangles?
Inform students that they have just identified some of the defining and non-defining attributes of triangles. All shapes have defining attributes and today they will be on a mission to figure out what these attributes are.",Students will be to distinguish between defining attributes and non-defining attributes of shapes.,
Science,1,2,"Tell your students that they will learn about the layers of the Earth.
Ask your students if they know the layers of the Earth.",Students will be able to identify the layers of the earth.,
Social Studies,1,1,"Introduce the lesson with the Continent Chorus. Play the audio of the song and/or sing the song aloud while reading the lyrics.
Invite the students to sing along.
Tell the students that they will be learning about the other continents in the world.",Students will be able to name and identify the seven basic continents in the world.,
Reading & Writing,1,2,"Before reading How the Camel Got His Hump, ask your students to name some animals with interesting characteristics.
Tell the students they will listen to a story about why an animal is the way it is. Allow them to make predictions about the story.
Tell the students that this style of storytelling is called 'how and why' and that the stories are not factual, or filled with facts.",Students will be able to work as a group to express and share their ideas. They will also be able to write and illustrate their own 'how and why' story.,
Math,1,1,"Review the names of geometric shapes with students. Either show students plastic shapes and have the class name them or draw and label the shapes on the board. Shapes should include rectangle, triangle, circle, hexagon, square, and trapezoid.
Describe tangrams to the class as a picture puzzle that is solved by fitting different shapes together.",Students will review basic geometric shapes and learn about composite shapes.Students will review basic geometric shapes and learn about composite shapes.,
Reading & Writing,1,1,"Tell students that several people have asked about having a class pet, but have suggested different animals.
Tell students that their pleas reminded you of a story called I Wanna Iguana.
Explain to students that the main character, Alex, wants to have a pet iguana but his mother is not convinced it would be a good idea. Alex writes her a series of letters to change her mind.
Explain to the students that next you are going to read the book I Wanna Iguana and you want them to listen for the reasons Alex gives to convince his mother to get an iguana.","Students will be able to write opinion letters in which they introduce the topic, state an opinion, supply a reason for the opinion, and provide some sense of closure.
Students will be able to recall information from experiences or gather information from provided sources to answer questions about a pet's basic needs.Students will be able to write opinion letters in which they introduce the topic, state an opinion, supply a reason for the opinion, and provide some sense of closure.Students will be able to recall information from experiences or gather information from provided sources to answer questions about a pet's basic needs.",
Math,1,2,"Tell students that today is going to be all about time!
Watch What's the Time?.",Students will be able to read and represent a time to the nearest quarter hour in both digital and analog forms.,
Reading & Writing,1,1,"Tell students that today we're going to read Bears on Wheels.
Tell them to watch for number words. Ask students to see if they can do the simple addition problems that come up while reading the book.",Students will be able to complete addition and subtraction problems.,
Reading & Writing,1,1,"Have students gather in a circle.
Tell them they will learn about active verbs. Active verbs are words that show action. When used in a sentence, they describe what someone or something does.
Discuss this concept with the students to add to their understanding.
Tell them that today's lesson will involve a game of charades. They'll need to act out words without talking.",Students will be able to identify and properly use active verbs.,
Reading & Writing,1,1,"If you have any old letters, bring a few you can read to the class.
Read aloud 1-2 short letters that you have received.
Inform students that they are going to write their own letters. It's easy as 1, 2, 3!
Pass your letters around for the students to see.","The students will be able to write a simple letter that includes a greeting, body, and closing.",
Reading & Writing,1,1,Review the sight word list with your students so that they are familiar with them before you begin the game.,Students will be able to identify sight words.,
Reading & Writing,1,1,"On the board, write several phrases with adjectives. For example: 'fuzzy caterpillar,' 'scruffy pirate,' 'happy puppy,' or 'sweet apple.' Write at least eight sets.
Tell the students that they will learn about adjectives. Explain that adjectives are words that describe, or tell about, other words.
Draw their attention to the board, slowly and deliberately read each set of words.
Go back to the first phrase. Point to the adjective and draw a line underneath it. Tell the students that this word is an adjective because it describes the noun beside it.
Repeat this process with the next two phrases.
From the fourth phrase onward, let the students identify each adjective.",Students will be able to use adjectives in complete sentences to describe a variety of images.Students will be able to use adjectives in complete sentences to describe a variety of images.,
Reading & Writing,1,1,"Tell students that directions are steps given to complete a job. Sometimes directions are written and sometimes they are spoken. It is important to follow directions exactly as they are given in order to do work properly. Following directions can be very difficult, or even impossible, if the person receiving directions doesn't listen or isn't focused.",Students will be able to follow instructions by utilizing their listening comprehension skills.,
Math,1,1,"Call the students together as a group.
Ask the students what item is used to tell time.
Take responses by raised hands.
Inform the students that clocks come in all shapes and sizes.
Inform the students that today they will be using an analog clock, or a clock that has rotating hands.",Students will be able to tell time on the hour using an analog clock.,
Reading & Writing,1,2,"Gather the students in the reading circle.
Tell them today, they will learn about how characters feel (their character traits), act, or look to help them understand a story more clearly.
Read aloud the story No, David!",Students will be able to identify feelings using a variety of words.,
Reading & Writing,1,1,"Tell the students that today, they can draw and color a picture about anything that makes them happy.
Give them time to brainstorm some topics.
Give them several ideas such as animals, toys, games, favorite food if they are stuck and can't think of anything.",Students will be able to write a simple story about one topic with relevant details.,
Reading & Writing,1,1,"Ask your students if they know how to spell pig.
Show your students a picture of a pig.
Tell your students that pig is spelled p-i-g.
Ask your students if they know any words that rhyme with pig.
Going off of their responses, explain to your students that today they will learn about the -ig word family.",Students will be able to identify and spell words in the -ig family.,
Reading & Writing,1,1,"Ask students to identify what letter comes after K in the alphabet.
Ask students to make the L sound.
Tell students that today they will be learning L blends.",Students will be able to identify and use consonant blends with the letter L to make words.,
Reading & Writing,1,2,"Choose the reading material to utilize, such as a book you have read with the class recently.
Pass out a stack of sticky notes to the students.
Explain to the students that reading comprehension is the ability to understand and recall what was read.
Show students an example of a doodle, or sketch. Explain to them that it only takes a few seconds to compose a doodle.
Explain to your students that for each page of the text that they read, they will compose little doodles on a sticky note that will remain stuck to that page.",Students will be able to retell key details from a story.,
Science,1,2,"Begin the lesson by talking to your class about energy. Great discussion questions to introduce the topic are: What is energy? Where does energy come from? How many kinds of energy are there? What are the different kinds of energy?
Explain that energy is the ability to do work, and that energy comes from all sorts of sources, such as the sun, wind, petroleum, and the muscles inside our bodies.
Tell your students that today, they will be learning about the two kinds of energy: potential and kinetic.
Ask your students some questions to gauge their understanding of these kinds of energy. Good examples include: What is potential energy? What is kinetic energy? What is the difference between the two?*",Students will be able to differentiate between potential and kinetic energy. Students will be able to describe what causes potential energy to change into kinetic energy and vice versa.,
Social Studies,1,2,"Introduce students to the lesson by having them listen to It's A Small World.
Ask them what the song means to them. Talk about the lyrics as a class, you can display these on the board or listen to the song with lyrics.","Students will be able to learn more about their cultural backgrounds as well as the cultural backgrounds of others, will be more exposed to different nationalities, cultures, and customs, and become more globally aware.",
Math,1,2,"To begin the lesson, tell the class that they will be practicing comparing numbers.
Ask for a student volunteer to define the word compare. After some discussion, remind your class that compare means to see if one number is the same as, smaller than, or bigger than another number.
Write the terms greater than, less than, and equal to on the whiteboard.
Prompt your class to tell you what each of these terms mean. After some students share what they believe each means, write the definition for each on the board. Remind the class that greater than means bigger, less than means smaller, equal to means the same.
Explain that as a class, everyone will review the symbols used to compare numbers.
Define symbols as things that are used to stand for or represent something. In this case, symbols are used to compare numbers by size.","Students will be able to compare two-digit numbers, using the symbols for greater than, less than, and equal to.",
Science,1,2,"Draw a picture of a plant on the board. Be sure to include roots, a stem, a flower, and leaves in your drawing.
Ask your students to tell you what you've just drawn. Once someone answers plant, ask your students whether or not anyone can tell you the different parts of a plant.
Allow your students to make suggestions for the labels.",Students will be able to identify and describe the basic parts of a plants. Students will be able to describe different kinds of leaves.,
Reading & Writing,1,2,"Ask students to recite the Pledge of Allegiance.
Next, ask students what grade they started saying the Pledge of Allegiance in. Ask students why they think they recite the Pledge of Allegiance everyday.
Record student responses on the board.
After hearing student responses, show the video The Pledge of Allegiance.",Students will be able to understand the meaning and purpose for reciting the Pledge of Allegiance.,
Reading & Writing,1,1,"Prior to this lesson, cut out and hide the three large punctuation marks somewhere in the room. For example, stick one of the punctuation marks in a place where it doesn't belong, such as taped to a computer or stuck to the corner of a bulletin board.
Tell your students that they have some sentence mysteries to solve. Introduce the task of searching for the hidden punctuation marks.
Invite your students to play “I Spy” with three different punctuation marks: a period, a question mark, and an exclamation point.
Ask your students to look around the room and signal when they locate a punctuation mark. Signals can include standing up or raising a hand.
After all three punctuation marks have been located, tell your students that they're going to be learning more about how to use those three different punctuation marks.","Students will be able to use periods, question marks, and exclamation points correctly.",
Reading & Writing,1,2,"Begin your lesson by explaining to your students that they will be playing a fun game to help them build their reading fluency. Remind them that fluency is how fast or slow someone reads, and that having good reading fluency will help them become better readers.
Explain that when your students can recognize sight words that are common but hard to sound out, they improve their reading fluency.
Ask your students what sight words they have seen. Possible answers can include words from the Pre-Primer Dolch list: blue, make, look, etc.","Students will recognize both decodable and irregularly spelled sight words.
Students will read basic sight words fluently.Students will recognize both decodable and irregularly spelled sight words.Students will read basic sight words fluently.",
Math,1,2,"Tell the students that today they will be reviewing fact families, or related numbers, and they will use that knowledge to help them represent missing addend word problems.
Remind your students that an addend is a number in a problem that is being added.
Show the example of a fact family triangle to the students, and have them explain the relationship between the 3 numbers.
Tell the students that they will make their own fact family triangles and play a game with them.
Pass out the triangles, and have the students each write out a fact family.
Then, have them walk around the room to find a partner to answer the question.
Direct each student to cover up one of the 3 numbers and show it to his partner.
Next, have your students find new partners and do it again.
After they have asked several peers, have them sit down.
Instruct your students to keep the triangles in their desks to play later.","Students will be able to use mental math to solve missing addend questions using both addition and subtraction strategies. Students will be able to represent a given missing addend word problem using a number sentence. Students will be able to identify the initial, change, and result of a word problem.",
Reading & Writing,1,1,"Tell the students to sit on the floor when the month of their birthday is called.
Call out or hold up flashcards of the months of the year.
When they are all sitting down, show the students the book and ask your students to predict what is going to happen in the story.",Students will be able to create a graph using real data.,can't tell if the outcome really matches the objective but it may be leaving stuff out
Math,1,1,"Introduce the lesson with a warm-up question.
Tell students that the principal is taking a poll to find out how many students are in the first grade. She needs to know how many students are in our class.
Ask someone to volunteer to count the number of students in the classroom.
A student is most likely to count by ones to accomplish this task. Ask her if she knows of a faster way to count than by ones. If the students do not say “counting by twos,” then suggest that you try counting by twos as a class.
Once you have counted by twos as a group, ask the students which method was faster: counting by ones or by twos.
Ask students to name other situations in which they have heard people counting by twos. For example, have they heard people counting by twos during class field trips?
Explain that students can count by twos in their own lives as well, e.g. when they are counting how many coins or how many toys they have.",Students will be able to skip count by twos and understand when it is appropriate to skip count by two.,
Social Studies,1,1,"Show the class a little bit of The Croods film or another movie based in prehistoric times.
Ask your students questions about what they see, such as the setting. Potential guiding questions include: What are people doing? How are they gathering food?",Students will be able to understand how people lived in the Stone Age.,
Reading & Writing,1,2,"Activate your students' prior knowledge before starting the lesson. Sample questions to ask include:
What does it mean to be kind?
If someone is mean or unkind, what might their actions look, sound, and feel like?
Ask students to think about what a prince, princess, and dragon are. Write down their ideas on the whiteboard.
Explain that you will be reading The Paper Bag Princess as a class, and they might meet characters who are kind and characters who are unkind.","Students will be able to retell stories, including key details, and demonstrate understanding of the story's lesson.",
Math,1,2,"Start the lesson by having students in the class take turns finding the sum, or the answer to an addition problem, of numbers on addition flashcards.
Tell students that next they will see the sum of an addition problem on an index card, and they will need to come up with two numbers that, when added together, equal that sum.",Students will be able to find two numbers that equal a certain sum.,
Reading & Writing,1,1,"Show students the sight word lists.
Tell the students that today, they are going to review the words on the list and spell the words with magnets.",Students will be able to identify and spell different sight words.,
Math,1,1,"Show an analog clock to the class and ask students for its name, and what it does.
After students get a chance to answer, hopefully responding with it is a kind of clock that uses hands that rotate to tell time, point to the short hand, or hour hand, and ask students to name it and to explain its purpose. Repeat questioning with the long hand, or minute hand.
Tell the class that today they will tell time to the hour by becoming human analog clocks.",Students will be able to tell time to the hour.,
Math,1,1,"Ask students if they know what the word sorting means. Explain that sort means to put certain types of people, things, or items in a group.
Ask if they know what the word classifying means. Explain that it means to give the group a name.
Write out these words with the definition on the board.
Ask students how they can sort and classify students in the classroom. If students are unable to come up with anything, give an example and go around the class asking each student to give an example. Examples could include hair color, students who like sports, and eye color.",Students will be able to group items into different categories. Students will be able to compare the number of items in various categories.,
Reading & Writing,1,2,"Ask your students if they know what the 5 W's are. Write them on the board if they come up with the correct answer. Add the ones that they didn't come up with on the board.
Give examples of each from a story that you have recently read in class.","Students will be able to ask and answer who, when, where, how, why, and what questions to show understanding of key details in a text.",
Math,1,2,"Show class the What's Missing? Subtraction Song to introduce the topic.
Tell students that they will be learning how to solve subtraction word problems.
Remind the class that subtraction is taking away one amount from another amount.",Students will be able to explain how to solve a subtraction word problem. Students will be able to illustrate subtraction word problems. Students will be able to solve written subtraction word problems.,
Reading & Writing,1,1,"Ask the students to tell you what the vowels of the alphabet are.
Write the vowels (A, E, I, O, U) on the board.",Students will be able to identify vowels and distinguish between short and long vowel sounds.,
Math,1,1,"Talk with your class about time. Explain to your students that being able to read time is important because it ensures that they will be on time to appointments or meetings later on in life. Tell students that reading time can also help them keep track of everything they do in a day, and is necessary to create a schedule.
Ask students if they know what a digital clock is. Write down your students' answers on the whiteboard.
Ask students if they know what an analog clock is. Write down your students' answers on the whiteboard.
Talk about what a.m. and p.m. mean. Define a.m. as meaning the time before noon, so from midnight to 11:59 in the morning. Define p.m. as meaning after noon, from the middle of the day until the middle of the night.
Write down the definitions on the whiteboard.",Students will be able to distinguish between a.m. and p.m. throughout the day.,
Reading & Writing,1,1,"Call the students together as a group.
Write on the whiteboard, 'Let's bake a cake and take it to Jake.'
Ask the students to identify any similarities or patterns that they see.
Take responses by raised hands.
Ask a student to come up and underline all of the words in the same family.
Ask another student to come up and circle all the first letters in each word that is underlined.
Tell the class that today we will be learning the -ake word family.",Students will be able to identify words within the -ake word family.,
Math,1,1,"Set the timer for 1 minute. Have the class sit quietly and wait for the timer to buzz.
Ask the class what activities they think a person could do that would take less than one minute. Then ask them what some activities are that would take more than one minute.
Tell students that one minute is equal to 60 seconds, or the length of time it takes to make your bed.",Students will be able to identify how long one minute is.,
Reading & Writing,1,1,"Ask students the following questions: How do you make a word? Have them think-pair-share their response, and guide them to the understanding that letters, that represent sounds, make up words when we put them in particular sequences.
Explain to the students that they will be playing a fun game using letter sounds to create words.
Get out your alphabet cards, and choose a card.
Hold the letter up and ask your students to make the sound of the letter. For example, if you have the letter S, ask your students to make the *s *sound.
Repeat this process a few times, picking different letter cards.
Write the letters A, C, T, and S on the board.
Ask a student to volunteer to figure out a word using the letters on the board.",Students will be able to blend letter sounds together to create basic words.,
Reading & Writing,1,1,"Tell students that today's lesson will involve asking questions about a story.
Let them know that you'll read a story, and that after you finish reading, you'll ask them two questions about what you've read. Once you're done, they'll become teachers and write their own questions.
Project and play The Lion and the Rat.
Ask no more than two questions about the story's elements (e.g. regarding author's purpose or point of view).",Students will be able to develop and express questions about a written text.,
Reading & Writing,1,1,"Call students together with their writing notebooks and a pen/pencil.
Ask students to think about what it was like when they first started school. What things were overwhelming or confusing? What are some things they needed to learn how to do? As students start mentioning things, list them on the board.
Explain to students that today they are going to have the opportunity to help younger, newer students. One way to pass along useful information is through how-to stories. Today, they will write how-to stories to explain to younger, newer students how to do the things that confused or overwhelmed them when they first started school.","At the conclusion of this lesson, students will be able to write a how-to story that includes at least 3 directions.",
Reading & Writing,1,1,"Gather students on the rug and show them your collection of comic books and/or graphic novels. Introduce the genre and ask students what are the important features of a comic book. What do they look like? How are they different from other picture books? During the discussion, find the right moment to introduce the words 'dialogue' and 'speech bubbles.'
Tell students that today they will be comic strip writers and explain that comic books are made up of comic strips. They will just be writing a short scene where at least two characters are talking to each other.",Students will be able to reflect on the elements of comic strip writing and create their own story using a comic strip format.,
Reading & Writing,1,1,"Ask students to gather on rug.
Show two books about the same topic (for example, a nonfiction book about plants and a fiction book about a child gardening). Ask students, 'What is the difference between these books?' Answers might include that one is “pretend” or “fiction” and one is about something “real” or what we call “nonfiction.” Briefly review how you might tell the difference between the two types of books. Nonfiction includes facts, teaches us something, etc. While fiction is an imaginary story.
Show the book 'Seed to Plant' by Laura Marsh (or similar nonfiction text) and demonstrate think-aloud strategies to locate information by saying, “I want to find out what a plant needs to grow. I’ll just look through this book to find out.”
Flip through the book, pretending to read parts of each page, acting slightly frustrated that you cannot locate the information about what a plant needs to grow.
Say, “Ah! I know, I’ll check the table of contents. Now, what words should I look for to find the information I am looking for?” Ask the students for ideas of words that might lead you to the correct page. Possible answers: dirt, plant needs, growing, etc.
Read the table of contents headings aloud and ask students to give a thumbs up if they hear something that might tell what a plant needs to grow.
Explain that, as readers, we can use text features in nonfiction book to find the information we are looking for. Understanding how to use text features such as the table of contents will help you to learn more from the nonfiction books you read. Tell them that in this lesson they will become detectives as they practice using text features to find out information from their books.",Students will be able to identify and use features of a nonfiction text to find information.,
Reading & Writing,1,1,"Gather your students together to begin.
Tell your students that today they'll be writing an opinion that matters.
Ask your class if they know what an opinion is. After some discussion, define an opinion as what someone believes or feels about something.
Explain that we often have reasons that support our opinions. Define reason as a convincing thought or piece of information.
Tell your students that every opinion in the classroom deserves respect. Define respect as showing and accepting that one's thoughts, ideas, and abilities are important.
Explain that understanding another's opinion is an important life skill.",Students will learn their opinions do matter in a classroom community of first graders.,
Reading & Writing,1,1,"Tell students they will be rereading their nonfiction books, paying specific attention to the visual text features like diagrams, illustrations, photographs, and charts. Explain that visual features can give important information, too.
They will each get three sticky notes to mark and identify visual text features that really stand out. Students will also note one fact they’ve learned from the caption, which is explainer text below a visual feature.","Students will be able to re-read a leveled nonfiction text, identify a visual feature, and record a fact from the caption.",
Math,1,1,"Set up your smartboard or projector to play the Trapezoid and Rectangle Shape Song.
Play the song for your students. After the song has finished, ask them what they heard.
Answers might include: 'Trapezoids have four sides and one pair of parallel lines.' 'Rectangles are similar to trapezoids because they have four sides but with different lengths.'
Ask your students what other shapes they saw in the song (cube, cone, cylinder, rectangle). Have the students tell you where those shapes can be found in the world (either using the examples from the song or ones they come up with).
Explain that today you will be learning about trapezoids and what makes them special.",Students will be able to identify and paint trapezoids.,
Math,1,1,"Gather students together at a table or in a group area. Students will work individually on this project, but will be in a group setting.
Discuss simple shapes with your class. Request that students list off shapes they know, including circle, triangle, rectangle, and square.",Students will be able to solve subtraction number sentences using art.,
Math,1,1,"Call students together. Ask them to think about times in life when people need to know what size something is. If students are having trouble coming up with answers, suggest times when they have seen adults cooking or shopping for clothing. Ask them why they think this is important to know.
Next, ask students how people measure these objects. Students may suggest answers like measuring cups or using a ruler.
Ask students about times when it is very important to know the exact amount of something and times when a general idea is good enough.
Tell students that there are formal units of measurement and show them a ruler as an example. Every time someone measures something in inches, it should always be exactly the same length.
Ask students to look at their feet. Because students’ feet are each slightly different sizes, if everyone in the class measured something with their feet, the results would not be exactly the same. However, if the same person measured the item numerous times, the measurement should be the same.
Tell students it is possible to compare items as long as the unit of measurement is consistent. If they use the same hand, foot, pencil, etc. to measure two objects, they can determine which one is bigger or smaller.","At the end of this lesson, students will be able to measure objects using another object and compare the results.",
Math,1,1,"Inform your students that they will work with the numbers one to 100.
Explain to them that they will write the number that is called out to them so that they can identify the numerals that make up a number.",Students will be able to identify numbers 1-100 by writing the number that is called and placing those numbers in the correct order.,
Math,1,2,"Gather students together and ask them to brainstorm ideas of what kind of occupation, a career or job, they might be interested in in the future.",Students will be able to determine how math is used in everyday life.,
Math,1,1,"Divide the class into even teams in an outside area or gym.
Give each team a die.","Students will be able to use given numbers to add up to 20, and then be able to subtract down to zero again.Students will be able to use given numbers to add up to 20, and then be able to subtract down to zero again.",
Reading & Writing,1,1,"Have students pick any two or three pictures from the collection.
Have students look at their pictures to see what can be used from each picture to create something new.",Students will be able to write about their own creation with detail.,
Social Studies,1,2,"Ask your students if they have ever been to a train station. Display some pictures of famous or historic train stations, such as Kings Cross in London or Grand Central Terminal in New York City to inspire more answers.
Have them describe their experience in a train station or an equally crowded or confusing area.
Explain that asking questions to other people can make their experiences less confusing.
Tell your students that today they will practice asking and answering questions to gather information.",Students will be able to ask and answer questions to gather information from a speaker.,
Math,1,1,"Display a large box containing a big pencil, scale, thermometer, ruler, can of soda, measuring cup, picture of iceberg, and a dictionary.
Direct the students to sort the objects in some way, guiding them as needed to sort the tools into a group and the objects that could be measured into a group.
Review the units of measure and tools of measure.
Match the objects to the tools that would be used to measure them.",Students will be able to determine the purposes of different measuring tools and complete measurements using those tools.,
Math,1,1,"Invite the students to sit down at their desks.
Explain to the students that today they will be learning about place value using two digit numbers.
Ask the students to think of a number between 20 and 30.
Call on a student to give you a number.
Write this number on the board. (Let’s pretend the number is 21.)
Say the number out loud.
Underline the number 1, and write 'ones' underneath it. Underline the number 2, write 'tens' underneath it.
Explain to the students that today they will learn about place value with groups of ones and tens. They will also learn how to represent the number twenty-one using place value cards.","Students will be able to visually represent ones and tens, as well as understand two-digit values in terms of ones and tens.",
Reading & Writing,1,2,"Tell the students to listen for words that sound alike as you read a book aloud.
Read aloud Goodnight Moon.",Students will be able to recognize similar letter sounds and use them to identify rhyming words.,
Math,1,1,"Gather the students, and let them know that they will be adding, using different objects such as dominoes and playing cards.
Pass around the dominoes and playing cards for the students to see and touch.",Students will be able to write number sentences and add one digit numbers.,
Math,1,1,"Begin by asking students to gather around you in a circle.
Pick a student to come to the middle of the circle and toss the throwing object towards another student sitting in the circle.
Tell the student that was picked that they must find someone that is taller than the person standing in the middle.
When the student chooses someone, have that new person stand next to the person in the middle and have the students decide if they are in fact taller by giving you a thumbs up or a thumbs down.
Continue the game by tossing the object to another student and changing the series of questions while making sure that they are all related to length using the words longer, shorter, smaller, bigger, taller, and shorter.",Students will be able to compare lengths and arrange objects by size.,
